Searchable,,Searchable,Searchable,Searchable,,,,
String,Float,String,,String,Float,String,float,String
name,number,department,LevelLong,PrimaryDept,level,Type,rating,philosophyDept
Study of African Amer Cultural Practices,21212,AAS ,201,AAS,2,Lecture,1,PhilosophyCore
Public Policy in the Racial State,21228,AAS AMS ,380 382 ,AAS,3,Seminar,0,Other
Harlem Ren & Black Arts Movements,21218,AAS ART ,245 245 ,AAS,2,Class,3,PhilosophyCore
African American Humor,21226,AAS ENG ,212 212 ,AAS,2,Lecture,2,Other
African American Lit: Origins to 1910,21222,AAS ENG ,353 352 ,AAS,3,Seminar,3,PhilosophyCore
African American History Since Emancipat,21227,AAS HIS ,367 387 ,AAS,3,Class,2,Other
Black to the Future,21221,AAS SOC ,301 367 ,AAS,3,Lecture,0,PhilosophyCore
Housing in the Metropolitan US,21220,AAS SOC ,350 362 ,AAS,3,Seminar,2,Other
Critical African Studies,22993,AFS ,450,AFS,4,Class,1,PhilosophyCore
American Noir: Crime Fiction and Film,20633,AMS ,367,AMS,3,Lecture,1,Other
Environmental and Social Crisis,21039,AMS ENV ,364 365 ,AMS,3,Seminar,3,PhilosophyCore
Issues in American Public Health,22067,AMS GHP ,306 411 ,AMS,3,Class,1,Other
Sugar: A Commodity History of the United,22221,AMS HIS ,353 445 ,AMS,3,Lecture,1,PhilosophyCore
American Legal Thought,21041,AMS HIS ,390 382 ,AMS,3,Seminar,3,Other
In the Groove:Technology and Music,20628,AMS HIS ,399 399 ,AMS,3,Class,2,PhilosophyCore
Introduction to Anthropology,22127,ANT ,201,ANT,2,Lecture,4,Other
Debt,22679,ANT ,225,ANT,2,Seminar,2,PhilosophyCore
"Social Lives, Social Forces",22104,ANT ,232,ANT,2,Class,0,Other
"Ethnography, Evidence and Experience",22262,ANT ,300A ,ANT,3,Lecture,1,PhilosophyCore
"Ethnography, Evidence and Experience",22263,ANT ,300B ,ANT,3,Seminar,4,Other
History of Anthropological Theory,21982,ANT ,390A ,ANT,3,Class,2,PhilosophyCore
History of Anthropological Theory,21978,ANT ,390B ,ANT,3,Lecture,0,Other
"Memory, Trauma, Accountability",21976,ANT ,432,ANT,4,Seminar,1,PhilosophyCore
The Anthropology of Ruins,22228,ANT ,445,ANT,4,Class,4,Other
Proseminar in Anthropology,21977,ANT ,501,ANT,5,Lecture,3,PhilosophyCore
Topics in Social Anthropology: Temporality and Ethnography,21354,ANT ,541,ANT,5,Seminar,4,Other
"Language, Identity, Power",22229,ANT COM ,326 319 ,ANT,3,Class,0,PhilosophyCore
"Religion, Ideology, and Media",21975,ANT REL ,208 208 ,ANT,2,Lecture,0,Other
Forensic Anthropology and Epigenetics,22222,ANT STC ,309A 310A ,ANT,3,Seminar,1,PhilosophyCore
Forensic Anthropology and Epigenetics,22227,ANT STC ,309B 310B ,ANT,3,Class,4,Other
Ethnography of Schools and Schooling,21971,ANT TPP ,368 368 ,ANT,3,Lecture,3,PhilosophyCore
Intro to Geophysical Fluid Dynamics,20829,AOS ,571,AOS,5,Seminar,0,Other
Current Topics in Dynamic Meteorology: Large-Scale Structure /Atmosphere,20830,AOS APC ,576 576 ,AOS,5,Class,1,PhilosophyCore
Atmospheric Radiactive Transfer,20828,AOS GEO ,527 527 ,AOS,5,Lecture,1,Other
Analytical Techniques/Differ'l Equations,21848,APC AST ,503 557 ,APC,5,Seminar,0,PhilosophyCore
Software Engineering for Scientific Comp,21688,APC MAE AST ,524 506 506 ,APC,5,Class,0,Other
Elementary Arabic I,20269,ARA ,101,ARA,1,Lecture,2,PhilosophyCore
Elementary Arabic I,20274,ARA ,101,ARA,1,Seminar,4,Other
Elementary Arabic I,20270,ARA ,101,ARA,1,Class,2,PhilosophyCore
Elementary Arabic I,20275,ARA ,101,ARA,1,Lecture,0,Other
Intermediate Arabic I,20277,ARA ,105,ARA,1,Seminar,2,PhilosophyCore
Intermediate Arabic I,20278,ARA ,105,ARA,1,Class,0,Other
Advanced Arabic I,20283,ARA ,301,ARA,3,Lecture,2,PhilosophyCore
Advanced Arabic I,20284,ARA ,301,ARA,3,Seminar,0,Other
Media Arabic I,20285,ARA ,303,ARA,3,Class,1,PhilosophyCore
Egyptian Colloquial Arabic,20268,ARA ,307,ARA,3,Lecture,4,Other
Topics in Arabic Language and Culture: Reading Arab Authors from the Age of the Arab Renaissance,20286,ARA ,403,ARA,4,Seminar,1,PhilosophyCore
Introduction to Architectural Thinking,22420,ARC ,203,ARC,2,Class,4,Other
Building Science & Tech:Building Systems,22430,ARC ,311,ARC,3,Lecture,1,PhilosophyCore
Computational Design,22418,ARC ,374,ARC,3,Seminar,4,Other
Theories of Housing & Urbanism,22428,ARC ,401,ARC,4,Class,2,PhilosophyCore
Topics: History & Theory of Architecture,22429,ARC ,403,ARC,4,Lecture,0,Other
Advanced Design Studio,22415,ARC ,404,ARC,4,Seminar,0,PhilosophyCore
Architecture Design Studio,22432,ARC ,501,ARC,5,Class,1,Other
Integrated Building Studios,22433,ARC ,503,ARC,5,Lecture,3,PhilosophyCore
Architecture Design Studio,22434,ARC ,505A ,ARC,5,Seminar,4,Other
Architecture Design Studio,22435,ARC ,505B ,ARC,5,Class,3,PhilosophyCore
