LEGEND,NAME,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
Searchable,y,y,y,y,y,y,,y,y
Sortable,y,y,y,y,y,y,y,,y
Colorable,,,,,,,y,,y
Category,,y,y,y,y,y,,,y
Remember,y,y,y,y,y,y,y,y,y
Type,STRING,STRING,STRING,STRING,STRING,STRING,FLOAT,STRING,FLOAT
,Spider-Man (Peter Parker),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,4043,Aug-62,1962
,Captain America (Steven Rogers),Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,3360,Mar-41,1941
,Wolverine (James Logan Howlett),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,3061,Oct-74,1974
,Iron Man (Anthony Tony Stark),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,2961,Mar-63,1963
,Thor (Thor Odinson),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,2258,Nov-50,1950
,Benjamin Grimm (Earth-616),Good Characters,Blue Eyes,No Hair,Male Characters,Living Characters,2255,Nov-61,1961
,Reed Richards (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,2072,Nov-61,1961
,Hulk (Robert Bruce Banner),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,2017,May-62,1962
,Scott Summers (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1955,Sep-63,1963
,Jonathan Storm (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1934,Nov-61,1961
,Henry McCoy (Earth-616),Good Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,1825,Sep-63,1963
,Susan Storm (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,1713,Nov-61,1961
,Namor McKenzie (Earth-616),Neutral Characters,Green Eyes,Black Hair,Male Characters,Living Characters,1528,,
,Ororo Munroe (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,1512,May-75,1975
,Clinton Barton (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1394,Sep-64,1964
,Matthew Murdock (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,1338,Apr-64,1964
,Stephen Strange (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,1307,Jul-63,1963
,Mary Jane Watson (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,1304,Jun-65,1965
,John Jonah Jameson (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,1266,Mar-63,1963
,Robert Drake (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1265,Sep-63,1963
,Henry Pym (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1237,Jan-62,1962
,Charles Xavier (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,1233,Sep-63,1963
,Warren Worthington III (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,1230,Sep-63,1963
,Piotr Rasputin (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,1162,May-75,1975
,Wanda Maximoff (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,1161,Mar-64,1964
,Nicholas Fury (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,1137,May-63,1963
,Janet van Dyne (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters,1120,Jun-63,1963
,Jean Grey (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Deceased Characters,1107,Sep-63,1963
,Natalia Romanova (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,1050,Apr-64,1964
,Kurt Wagner (Earth-616),Good Characters,Yellow Eyes,Blue Hair,Male Characters,Living Characters,1047,May-75,1975
,Vision (Earth-616),Good Characters,Gold Eyes,No Hair,Male Characters,Living Characters,1007,Oct-68,1968
,May Reilly (Earth-616),Good Characters,Blue Eyes,Grey Hair,Female Characters,Living Characters,1000,Aug-62,1962
,Katherine Pryde (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Female Characters,Living Characters,886,Jan-80,1980
,Carol Danvers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,881,Mar-68,1968
,Jennifer Walters (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Living Characters,881,Feb-80,1980
,Emma Frost (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,880,Jan-80,1980
,Frank Castle (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,878,Feb-74,1974
,Luke Cage (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,856,Jun-72,1972
,Rogue (Anna Marie) (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,850,,
,Conan (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,787,Oct-70,1970
,Joseph Robertson (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Living Characters,752,Aug-67,1967
,Pietro Maximoff (Earth-616),Good Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,740,Mar-64,1964
,Hercules (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,725,Oct-65,1965
,Victor von Doom (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,721,Jul-62,1962
,Max Eisenhardt (Earth-616),Neutral Characters,Grey Eyes,Bald,Male Characters,Living Characters,709,Sep-63,1963
,Elizabeth Braddock (Earth-616),Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Living Characters,708,Dec-76,1976
,Norrin Radd (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,696,Mar-66,1966
,Norman Osborn (Earth-616),Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,692,Jul-64,1964
