LEGEND,name,professors,description,deptLevel,distArea,rating,primaryDept
Searchable?,y,y,y,y,y,y,y
Sortable?,y,,,,,y,
Colorable?,,,,,,y,
Category?,,,,,,,y
Remember?,y,y,,y,y,y,y
Type,STRING,STRING,STRING,STRING,STRING,FLOAT,STRING
NULL,Introduction to the Study of African American Cultural Practices , Imani Perry , As the introductory course required to concentrate or earn a certificate in African American Studies  this course examines the past and present  the doings and the sufferings of Americans of African descent from a multidisciplinary perspective. It highlights the ways in which serious intellectual scrutiny of the agency of black people in the United States help redefine what it means to be American  new world  modern and post modern , AAS 201 , SA ,4.226666666666667,AAS
NULL,What's So Funny? Forms of African American Humor , Kinohi Nishikawa , What's so funny? is a question that could be turned around to ask: Who's laughing? Comedian Dave Chappelle might say it's a question about who gets the joke  and who doesn't. This survey of African American humor is an introduction to getting the joke. We study the technical artistry of black humorists and comedians and reflect on the audiences for whom they write and perform. We examine a range of cultural expression  from the dozens to stand-up comedy. In our critical and creative work  we assess how past forms and strategies can be adapted to the project of African American humor today. , AAS 212 ENG 212 , LA ,4.3759999999999994,AAS
NULL,Harlem Renaissance and Black Arts Movements , Chika O. Okeke-Agulu , This course surveys important moments in 20th-Century African American art from the Harlem Renaissance in the 1920s to the 1960s Black Arts movement. Our close studies of the work of major artists will be accompanied by examination of influential theories and ideologies of blackness during two key moments of black racial consciousness in the United States. We shall cover canonical artists and writers such as Aaron Douglas  James van der Zee  William H. Johnson  Jacob Lawrence  Romare Bearden  Faith Ringgold  Betye Saar  W. E. B. Du Bois  Alain Locke  James Porter and Jeff Donaldson. , AAS 245 ART 245 , LA ,4.022,AAS
NULL,Black to the Future: Science  Fiction  and Society , Ruha Benjamin ," Designer Babies. Ancestry Tests. Organ Regeneration. Biometric Surveillance. These and more comprise our 21st century landscape. This interdisciplinary course examines the values and politics that shape science  medicine  and technology  asking who bears the risk and who reaps the benefit of innovations? Social inequality is legitimized  in part  by myths about human difference. And while course participants grapple with past and present stories that shape science and technology  we also apply a sociological imagination to the future  exploring how contemporary hopes and fears may give rise to ""real utopias"" that are more equitable and just. ", AAS 301 SOC 367 , SA ,4.95,AAS
NULL,Rats  Riots  and Revolution: Housing in the Metropolitan United States , Keeanga-Yamahtta Taylor ," This class examines the history of urban and suburban housing in the twentieth century US. We will examine the relationship between postwar suburban development as a corollary to the ""underdevelopment"" of American cities contributing to what scholars have described as the ""urban crisis"" of the 1960s. Housing choice and location were largely shaped by discriminatory practices in the real estate market  thus  the course explores the consequences of the relationship between public policy and private institutions in shaping the metropolitan area including after the passage of federal anti-housing discrimination legislation in the late 1960s. ", AAS 350 SOC 362 , HA ,3.868,AAS
NULL,African American Literature: Origins to 1910 , Autumn M. Womack , This introductory course focuses on black literature and literary culture from the mid-18th century to the early 20th; it will cover the poetry of Phillis Wheatley and Paul L. Dunbar; the political oratory of Sojourner Truth and David Walker; slave narratives by Frederick Douglass and Harriet Jacobs; non-fiction prose by W. E. B. Du Bois and Anna Julia Cooper; and Frances Harper's and James Weldon Johnson's novels. In readings  assignments  and discussions  we will explore the unique cultural contexts  aesthetic debates  and socio-political forces that surround the production of an early African American literary tradition. , AAS 353 ENG 352 , LA ,3.5766666666666667,AAS
NULL,African American History Since Emancipation , Joshua B. Guild , An analysis of the social  political  legal  and cultural dimensions of the African American experience in the United States throughout critical historical moments such as Reconstruction  suffrage  the Great Migration  war  the Great Depression  the New Deal  the Civil Rights era  the black power movement  and contemporary racial politics. Two lectures  one preceptorial. , AAS 367 HIS 387 , HA ,4.486666666666667,AAS
NULL,Public Policy in the U.S. Racial State , Keeanga-Yamahtta Taylor , This course explores how ideas and discourses about race shape how public policy is debated  adopted  and implemented. Black social movements and geopolitical considerations prompted multiple public policy responses to racial discrimination throughout the twentieth century. Despite these policy responses  discrimination persists  raising theoretical concerns about the dynamics of inclusion and exclusion  political representation  the role of the state (meaning government or law) in promoting social justice  and the role of social movements and civil society in democratizing policymaking and addressing group oppression. , AAS 380 AMS 382 , HA ,4.7780000000000005,AAS
NULL,Critical African Studies , Carolyn M. Rouse , Critical African Studies is a colloquium designed as a capstone course for African Studies Certificate students. The course is designed to introduce students to cutting-edge scholarship in African Studies. Students engage with African Studies scholars from Princeton University and beyond. In addition to attending the African Studies Lecture Series and Works-in-Progress series  students in Critical African Studies will workshop their junior or senior independent research. This capstone course is open to junior and senior certificate students and must be taken to fulfill the African Studies Certificate requirements. , AFS 450 ,,-1,AFS
